,Compound Score,Date,Negative Sentiment,Neutral Sentiment,Order Position,Positive Sentiment,Source,Tweet
157,0.0772,Sun Mar 11 06:01:04 +0000 2018,0.0,0.939,57,0.061,CNN,"Over 1.3 million live animals and plants, and a similar number of animal skins, have been exported from Africa to A… https://t.co/fHImyRVV9l"
158,0.0,Sun Mar 11 05:46:00 +0000 2018,0.0,1.0,58,0.0,CNN,NASA spacecraft Juno has collected new data on its mission to Jupiter revealing some of the swirling inner mysterie… https://t.co/Tm73ZWcpn9
159,0.0,Sun Mar 11 05:31:05 +0000 2018,0.0,1.0,59,0.0,CNN,Bones found on a remote Pacific island almost eight decades ago likely are those of pioneering pilot Amelia Earhart… https://t.co/MtqRDZ4kgB
160,0.25,Sun Mar 11 05:16:00 +0000 2018,0.0,0.9,60,0.1,CNN,"Russian internet trolls created an anti-Hillary Clinton video game called ""Hilltendo"" and tried to make it go viral… https://t.co/aRZHkrFLDL"
161,0.0,Sun Mar 11 05:00:06 +0000 2018,0.0,1.0,61,0.0,CNN,"President Trump is looking at adding impeachment lawyer to the White House team, The New York Times reports… https://t.co/clGPoY680u"
162,-0.3818,Sun Mar 11 04:30:06 +0000 2018,0.167,0.833,62,0.0,CNN,"US Attorney General Jeff Sessions says judges blocking President Trump's policies is ""unconstitutional""… https://t.co/6FPpSHLqpd"
163,0.5434,Sun Mar 11 04:00:08 +0000 2018,0.0,0.82,63,0.18,CNN,"""A Wrinkle in Time"" breaks through with a new kind of heroism, writes Van Jones for @CNNOpinion… https://t.co/nHKWj0zLmn"
164,0.1779,Sun Mar 11 03:30:11 +0000 2018,0.127,0.711,64,0.162,CNN,"Washington, save partisan fighting for actual partisan issues — not DACA, writes Fernand Fernandez for @CNNOpinion… https://t.co/PkLyK4GUMq"
165,-0.296,Sun Mar 11 03:00:07 +0000 2018,0.104,0.896,65,0.0,CNN,"The CEO of dating app Bumble says she pays no mind to Tinder, her biggest competitor and former employer… https://t.co/vOQrSvoZoV"
166,-0.4215,Sun Mar 11 02:30:03 +0000 2018,0.237,0.763,66,0.0,CNN,US worries over China's expanding role in Africa https://t.co/JdQ485Nc35 https://t.co/HoPZkfx31V
167,0.2263,Sun Mar 11 02:01:39 +0000 2018,0.186,0.595,67,0.219,CNN,Oprah says she was inspired to help the Florida school shooting survivors fight for gun control because their dedic… https://t.co/SHC9psBXC6
168,0.0258,Sun Mar 11 01:37:14 +0000 2018,0.204,0.584,68,0.212,CNN,"President Trump appears to mock ""presidential"" behavior: ""That's easy"" https://t.co/zvDdpiNUy1"
169,0.0,Sun Mar 11 01:30:08 +0000 2018,0.0,1.0,69,0.0,CNN,US Secretary of State Rex Tillerson will resume his normal schedule Sunday after canceling his Saturday schedule of… https://t.co/8g4GLb4WHv
170,-0.6705,Sun Mar 11 01:28:25 +0000 2018,0.262,0.646,70,0.091,CNN,"President Trump discusses the death penalty for drug dealers: ""I don't think we should play games ... These people… https://t.co/yZwcNUrreM"
171,0.0,Sun Mar 11 01:15:30 +0000 2018,0.0,1.0,71,0.0,CNN,"President Trump responds to chants of ""Build the wall"" at a rally in Pennsylvania: ""We are building the wall, 100%"" https://t.co/Oy2HVMcGjp"
